Alcalá de los Gazules,JAVIER,PIZARRO,RUIZ,13-06-2015,P.S.O.E.-A
Alcalá del Valle,DOLORES,CABALLERO,FLORES,13-06-2015,IULV-CA
Algar,MARIA JOSE,VILLAGRAN,RICHARTE,13-06-2015,PSOE-A
Algeciras,JOSÉ IGNACIO,LANDALUCE,CALLEJA,13-06-2015,P.P.
Algodonales,JOSE MARIA,GOMEZ,MARTINEZ,13-06-2015,PSOE-A
Arcos de la Frontera,ISIDORO,GAMBIN,JAEN,13-06-2015,P.S.O.E.-A
Barbate,MIGUEL FRANCISCO,MOLINA,CHAMORRO,13-06-2015,P.A.
"Barrios, Los",JORGE,ROMERO,SALAZAR,13-06-2015,PA
Benaocaz,ANTONIO,VENEGAS,CARO,13-06-2015,PSOE-A
Bornos,HUGO,PALOMARES,BELTRAN,13-06-2015,IULV-CA
"Bosque, El",PILAR,GARCIA,CARRASCO,13-06-2015,P.S.O.E.-A
Cádiz,JOSE MARIA,GONZALEZ,SANTOS,13-06-2015,POR CÁDIZ SI SE PUEDE
Castellar de la Frontera,JUAN,CASANOVA,CORREA,13-06-2015,IULV-CA
Conil de la Frontera,JUAN MANUEL,BERMÚDEZ,ESCÁMEZ,13-06-2015,IULV-CA
Chiclana de la Frontera,JOSE MARÍA,ROMÁN,GUERRERO,13-06-2015,P.S.O.E.-A
Chipiona,ISABEL,JURADO,CASTRO,04-11-2016,P.P.
Espera,PEDRO,ROMERO,VALVERDE,13-06-2015,IULV-CA
"Gastor, El",MARIA ISABEL,MORENO,FERNANDEZ,13-06-2015,P.S.O.E.-A
Grazalema,CARLOS JAVIER,GARCIA,RAMIREZ,13-06-2015,P.S.O.E.-A
Jerez de la Frontera,MARIA DEL CARMEN (MAMEN),SANCHEZ,DIAZ,13-06-2015,P.S.O.E.-A
Jimena de la Frontera,FRANCISCO JOSE,GOMEZ,PEREZ,19-12-2016,IULV-CA
"Línea de la Concepción, La",JOSE JUAN,FRANCO,RODRIGUEZ,13-06-2015,LL100X100
Medina-Sidonia,MANUEL FERNANDO,MACIAS,HERRERA,13-06-2015,IULV-CA
Olvera,FRANCISCO,PARRAGA,RODRIGUEZ,13-06-2015,P.S.O.E.-A
Paterna de Rivera,ALFONSO,CARAVACA,MORALES,13-06-2015,P.S.O.E.-A
Prado del Rey,JOSE RAMON,BECERRA,ORELLANA,13-06-2015,P.P.
"Puerto de Santa María, El",JAVIER DAVID,DE LA ENCINA,ORTEGA,13-06-2015,PSOE-A
Puerto Real,ANTONIO JAVIER,ROMERO,ALFARO,13-06-2015,SISEPUEDEPR
Puerto Serrano,MIGUEL ANGEL,CARRERO,NIETO,13-06-2015,P.S.O.E-A
Rota,JOSE JAVIER,RUIZ,ARANA,13-06-2015,PSOE-A
San Fernando,PATRICIA,CABADA,MONTAÑES,13-06-2015,P.S.O.E.-A
Sanlúcar de Barrameda,VICTOR,MORA,ESCOBAR,13-06-2015,P.S.O.E.-A
San Roque,JUAN CARLOS,RUIZ,BOIX,13-06-2015,PSOE-A
Setenil de las Bodegas,RAFAEL,VARGAS,VILLALON,13-06-2015,PA
Tarifa,FRANCISCO,RUIZ,GIRALDEZ,12-11-2015,P.S.O.E.- A
Torre Alháquime,PEDRO,BARROSO,SALAS,13-06-2015,P.S.O.E.-A
Trebujena,JORGE DAVID,RODRIGUEZ,PEREZ,13-06-2015,IULV-CA
Ubrique,ISABEL,GOMEZ,GARCIA,13-06-2015,P.S.O.E.-A
Vejer de la Frontera,JOSÉ,ORTIZ,GALVÁN,13-06-2015,P.P.
Villaluenga del Rosario,ALFONSO CARLOS,MOSCOSO,GONZALEZ,13-06-2015,P.S.O.E.-A
Villamartín,JUAN LUIS,MORALES,GALLARDO,13-06-2015,PA
Zahara,JUAN MARIA,NIETO,SANCHEZ,13-06-2015,PSOE-A
Benalup-Casas Viejas,AMALIA,ROMERO,BENITEZ,13-06-2015,P.S.O.E.-A
San José del Valle,ANTONIO,GONZALEZ,CARRETERO,02-03-2018,P.S.O.E.-A
