Agrón,MARIA DEL PILAR,LOPEZ,ROMERO,13-06-2015,PSOE-A
Alamedilla,TORCUATO,CABRERIZO,FERNÁNDEZ,13-06-2015,PSOE-A
Albolote,CONCEPCION,RAMIREZ,MARIN,13-06-2015,PSOE-A
Albondón,MARGARITA,CASTILLO,MARTOS,13-06-2015,PSOE-A
Albuñán,ANTONIO,HIDALGO,HIDALGO,13-06-2015,PSOE-A
Albuñol,MARIA JOSE,SANCHEZ,SANCHEZ,13-06-2015,PSOE-A
Albuñuelas,JOSE,DIAZ,ALCANTARA,13-06-2015,P.P.
Aldeire,DELIA,FERRER,LOZANO,23-08-2017,POR ALDEIRE
Alfacar,MARIA DE FATIMA,GOMEZ,ABAD,13-06-2015,PSOE-A
Algarinejo,JORGE,SANCHEZ,HIDALGO,13-06-2015,P.P.
Alhama de Granada,JESUS,UBIÑA,OLMOS,13-06-2015,P.P.
Alhendín,FRANCISCO PEDRO,RODRIGUEZ,GUERRERO,13-06-2015,P.P.
Alicún de Ortega,RAFAEL,MARIN,BELMONTE,13-06-2015,PSOE-A
Almegíjar,FRANCISCO,HIDALGO,SAEZ,13-06-2015,PSOE-A
Almuñécar,TRINIDAD,HERRERA,LORENTE,13-06-2015,P.P.
Alquife,BENITO,RUIZ,GÁMEZ,13-06-2015,P.P.
Arenas del Rey,FRANCISCA JOSEFA,GARCIA,MORENO,13-06-2015,PSOE-A
Armilla,DOLORES,CAÑAVATE,JIMENEZ,15-06-2018,PSOE-A
Atarfe,FRANCISCO,RODRIGUEZ,QUESADA,13-06-2015,PASI
Baza,PEDRO,FERNANDEZ,PEÑALVER,03-07-2015,PSOE-A
Beas de Granada,MANUEL,MARTIN,YAÑEZ,13-06-2015,PSOE-A
Beas de Guadix,ROSA,MARTINEZ,HUERTAS,13-06-2015,PSOE-A
Benalúa,MANUEL,MARTINEZ,SANCHEZ,13-06-2015,PSOE-A
Benalúa de las Villas,MARIA ANGUSTIAS,CAMARA,GARCIA,13-06-2015,P.P.
Benamaurel,JUAN FRANCISCO,TORREGROSA,MARTINEZ,03-07-2015,PSOE-A
Bérchules,ISMAEL,PADILLA,GERVILLA,13-06-2015,PSOE-A
Bubión,MARIA DEL CARMEN,PEREZ,PEREA,13-06-2015,PSOE-A
Busquístar,ELISABET,LIZANA,PUENTEDURA,13-06-2015,P.P.
Cacín,ERNESTO,MOLES,GARCIA,13-06-2015,P.P.
Cádiar,JOSE JAVIER,MARTIN,CAÑIZARES,13-06-2015,P.P.
Cájar,ANA MARIA,GARCIA,ROLDAN,13-06-2015,PSOE-A
Calicasas,MARIA ISABEL,CORRAL,CARRILLO,13-06-2015,PSOE-A
Campotéjar,JOSE,AGUILAR,BAILON,13-06-2015,PSOE-A
