,,,,Ficha de concejales,
,,,,,
,,,,Ministerio de Hacienda y Administraciones Públicas,
,,,,,
,,,,,
Municipio,Nombre,Apellido,Apellido,fecha_posesion,Lista
Albanchez de Mágina,ALEJANDRO,MORALES,MORENO,25-01-2018,N.ADS.
Alcalá la Real,CARLOS ANTONIO,HINOJOSA,HIDALGO,13-06-2015,PSOE-A
Alcaudete,VALERIANO,MARTIN,CANO,13-06-2015,PSOE-A
Aldeaquemada,MANUEL,FERNÁNDEZ,VELA,25-01-2018,N.ADS.
Andújar,FRANCISCO MANUEL,HUERTAS,DELGADO,13-06-2015,PSOE-A
Arjona,JUAN,LATORRE,RUIZ,13-06-2015,PSOE-A
Arjonilla,MIGUEL ANGEL,CARMONA,CARMONA,13-06-2015,PARTIDO ANDALUCISTA
Arquillos,MIGUEL ÁNGEL,MANRIQUE,PEINADO,13-06-2015,P.P.
Baeza,MARIA DOLORES,MARIN,TORRES,13-06-2015,PSOE-A
Bailén,LUIS MARIANO,CAMACHO,NUÑEZ ,13-06-2015,P.P.
Baños de la Encina,ANTONIO,LAS HERAS,CORTÉS,13-06-2015,PSOE-A
Beas de Segura,SEBASTIAN,MOLINA,HERRERA,13-06-2015,PSOE-A
Begíjar,DAMIAN,MARTINEZ,RESOLA,23-08-2017,P.P.
Bélmez de la Moraleda,PEDRO,JUSTICIA,HERRERA,13-06-2015,PSOE-A
Benatae,MARIA FRANCISCA,ESPINOSA,GARCIA,13-06-2015,PSOE-A
Cabra del Santo Cristo,JOSE,RUBIO,SANTOYO,13-06-2015,PSOE-A
Cambil,MIGUEL ANGEL,GARCIA,MARTOS,13-06-2015,IULV-CA
Campillo de Arenas,JUAN FRANCISCO,FIGUEROA,RUIZ,13-06-2015,PSOE-A
Canena,JOSE CARLOS,SERRANO,RUIZ,13-06-2015,IULV-CA
Carboneros,DOMINGO,BONILLO,AVI,13-06-2015,PSOE-A
"Carolina, La",YOLANDA,RECHE,LUZ,13-06-2015,PSOE-A
Castellar,GABRIEL,GONZALEZ,VILLANUEVA,25-01-2018,N.ADS.
Castillo de Locubín,CRISTÓBAL,RODRÍGUEZ,GALLARDO,13-06-2015,PSOE-A
Cazalilla,MANUEL JESUS,RAYA,CLEMENTE,26-08-2015,PSOE-A
Cazorla,ANTONIO JOSE,RODRIGUEZ,VIÑAS,13-06-2015,PSOE-A
Chiclana de Segura,SANTIAGO,RODRIGUEZ,YESTE,13-06-2015,PSOE-A
Chilluévar,JOSE LUIS,AGEA,MARTINEZ,13-06-2015,PSOE-A
Escañuela,FRANCISCO JAVIER,SABALETE,PANCORBO,13-06-2015,PSOE-A
Espelúy,MANUELA,COBO,ANGUITA,02-07-2015,PSOE-A
Frailes,JOSE MANUEL,GARRIDO,ROMERO,13-06-2015,P.P.
Fuensanta de Martos,MARIA FRANCISCA,MOLINA,ZAMORA,13-06-2015,PSOE-A
Fuerte del Rey,MANUEL,MELGUIZO,ARROYO,13-06-2015,PSOE-A
Génave,JAIME,AGUILERA,SAMBLAS,13-06-2015,PSOE-A
"Guardia de Jaén, La",JUAN,MORILLO,GARCIA,13-06-2015,P.P.
Guarromán,ALBERTO,RUBIO,MOSTACERO,13-06-2015,P.P.
Lahiguera,FLORENCIO JOSE,MORALES,LARA,13-06-2015,PSOE-A
Higuera de Calatrava,JUAN DE DIOS,ORTEGA,LOPEZ,13-06-2015,P.A.
Hinojares,MARON,MARTINEZ,SEVILLA,13-06-2015,PSOE-A
Hornos,JUAN ANTONIO,GILA,REAL,13-06-2015,PSOE-A
Huelma,FRANCISCO MANUEL,RUIZ,GARCIA,13-06-2015,IULV-CA
Huesa,ANGEL,PADILLA,ROMERO,13-06-2015,PSOE-A
Ibros,LUIS MIGUEL,CARMONA,RUIZ,13-06-2015,PSOE-A
"Iruela, La",JOSE ANTONIO,OLIVARES,SANCHEZ,13-06-2015,PSOE-A
Iznatoraf,ANTONIA,DE LA PAZ,MANJON,13-06-2015,P.P.
Jabalquinto,PEDRO,LOPEZ,LERIDA,13-06-2015,U.D.J
Jaén,FRANCISCO JAVIER,MARQUEZ,SANCHEZ,30-11-2015,P.P.
Jamilena,CRISPIN,COLMENERO,MARTOS,13-06-2015,P.P.
Jimena,ESTHER,ULLOA,NAVARRETE,13-06-2015,PSOE-A
Jódar,JOSE LUIS,HIDALGO,GARCIA,13-06-2015,PSOE-A
Larva,MARIA DE LOS ANGELES,LEIVA,LOPEZ,13-06-2015,PSOE-A
Linares,JUAN,FERNÁNDEZ,GUTIERREZ,13-06-2015,PSOE-A
Lopera,ISABEL,UCEDA,CANTERO,13-06-2015,PSOE-A
Lupión,GONZALO MANUEL,RUS,PEREZ,13-06-2015,IULV-CA
Mancha Real,MARIA DEL MAR,DAVILA,JIMENEZ,13-06-2015,P.P.
Marmolejo,MANUEL,LOZANO,GARRIDO,13-06-2015,PSOE-A
Martos,VICTOR MANUEL,TORRES,CABALLERO,13-06-2015,PSOE-A
Mengíbar,JUAN,BRAVO,SOSA,13-06-2015,PSOE-A
