Alameda,JUAN LORENZO,PINEDA,CLAVERÍAS,13-06-2015,IULV-CA-PARA LA GENTE
Alcaucín,MARIO JEAN BAPTIST,BLANCKE,,13-06-2015,C's
Alfarnate,SALVADOR,URDIALES,PEREZ,13-06-2015,PSOE-A
Alfarnatejo,ANTONIO,BENITEZ,BARROSO,13-06-2015,PSOE-A
Algarrobo,ALBERTO,PEREZ,GIL,13-06-2015,PSOE-A
Algatocín,JOSE MANUEL,LOPEZ,GUTIERREZ,13-06-2015,P.P.
Alhaurín de la Torre,JOAQUIN,VILLANOVA,RUEDA,13-06-2015,PP
Alhaurín el Grande,ANTONIA JESUS,LEDESMA,SANCHEZ,20-02-2016,PORALHAURIN
Almáchar,JOSE,GAMEZ,GUTIERREZ,13-06-2015,IULV-CA-PARA LA GENTE
Almargen,MARÍA DEL CARMEN,ROMERO,GARCÍA,13-06-2015,IULV-CA-PARA LA GENTE
Almogía,CRISTOBAL,TORREBLANCA,SANCHEZ,13-06-2015,PSOE-A
Álora,JOSE,SANCHEZ,MORENO,13-06-2015,PSOE-A
Alozaina,ANTONIO,PEREZ,RUEDA,13-06-2015,PSOE-A
Alpandeire,MARIA DOLORES,BULLON,AYALA,13-06-2015,G.I.A.-P
Antequera,MANUEL JESÚS,BARÓN,RÍOS,13-06-2015,P.P.
Árchez,MARIA DEL CARMEN,MORENO,CORDOBA,13-06-2015,P.P.
Archidona,MERCEDES,MONTERO,FRÍAS,13-06-2015,PSOE-A
Ardales,MARÍA DEL MAR,GONZÁLEZ,VERA,13-06-2015,PSOE-A
Arenas,FRANCISCO LAUREANO,MARTIN,HURTADO,26-09-2016,IULV-CA-PARA LA GENTE
Arriate,MELCHOR,CONDE,MARÍN,13-06-2015,PSOE-A
Atajate,MARIA AUXILIADORA,SANCHEZ,GONZALEZ,13-06-2015,PSOE-A
Benadalid,LEONOR,ANDRADES,PERALES,13-06-2015,PSOE-A
Benahavís,JOSE ANTONIO,MENA,CASTILLA,13-06-2015,P.P.
Benalauría,EUGENIO,MARQUEZ,VILLANUEVA,13-06-2015,AEB
Benalmádena,VICTORIANO,NAVAS,PEREZ,13-06-2015,PSOE- A
Benamargosa,JOSE,GALLEGO,PEREZ,13-06-2015,P.P.
Benamocarra,ABDESLAM JESUS,AOULAD BEN SALEM,LUCENA,13-06-2015,POR MI PUEBLO
Benaoján,ISABEL SORAYA,GARCÍA,MESA,13-06-2015,PSOE-A
Benarrabá,SILVESTRE,BARROSO,JARILLO,13-06-2015,P.P.
"Borge, El",SALVADOR,FERNANDEZ,MARIN,13-06-2015,PSOE-A
"Burgo, El",JOSE JOAQUIN,GARCIA,RAMIREZ,13-06-2015,IULV-CA-EL BURGO PARA LA GENTE
Campillos,FRANCISCO,GUERRERO,CUADRADO,13-06-2015,IULV-CA-PARA LA GENTE
Canillas de Aceituno,VICENTE,CAMPOS,GONZALEZ,13-06-2015,P.P.
Canillas de Albaida,JORGE,MARTIN,PEREZ,13-06-2015,P.P.
