Aguadulce,ESTRELLA,MONTAÑO,GARCIA,13-06-2015,PSOE-A
Alanís,EVA CRISTINA,RUIZ,PEÑA,24-08-2016,PARTIDO ANDALUCISTA
Albaida del Aljarafe,JOSÉ ANTONIO,GELO,LÓPEZ,13-06-2015,PSOE-A
Alcalá de Guadaíra,ANA ISABEL,JIMÉNEZ,CONTRERAS,13-05-2016,PSOE-A
Alcalá del Río,ANTONIO,CAMPOS,RUIZ,13-06-2015,PSOE-A
Alcolea del Río,CARLOS,LOPEZ,BARRERA,13-06-2015,PSOE-A
"Algaba, La",DIEGO MANUEL,AGÜEDA,PIÑERO,13-06-2015,PSOE-A
Algámitas,ISABEL MARIA,ROMERO,GOMEZ,13-06-2015,P.S.O.E.-A
Almadén de la Plata,FELICIDAD,FERNÁNDEZ,FERNANDEZ,13-06-2015,PSOE-A
Almensilla,AGRIPINA,CABELLO,BENÍTEZ,13-06-2015,PSOE-A
Arahal,MIGUEL ANGEL,MÁRQUEZ,GONZÁLEZ,13-06-2015,IULV-CA
Aznalcázar,MANUELA,CABELLO,GONZÁLEZ,13-06-2015,PSOE-A
Aznalcóllar,JUAN JOSÉ,FERNÁNDEZ,GARRIDO,13-06-2015,IULV-CA
Badolatosa,ANTONIO MANUEL,GONZÁLEZ,GRACIANO,13-06-2015,PSOE-A
Benacazón,JUANA MARÍA,CARMONA,GONZÁLEZ,13-06-2015,PSOE-A
Bollullos de la Mitación,FERNANDO,SORIANO,GÓMEZ,13-06-2015,IULV-CA
Bormujos,FRANCISCO MIGUEL,MOLINA,HARO,13-06-2015,PSOE-A
Brenes,MARCELINO,CONTRERAS,RODRÍGUEZ,13-06-2015,UPAN
Burguillos,VALENTÍN,LÓPEZ,FERNÁNDEZ,13-06-2015,PSOE-A
"Cabezas de San Juan, Las",FRANCISCO JOSÉ,TOAJAS,MELLADO,13-06-2015,P.S.O.E.
Camas,RAFAEL ALFONSO,RECIO,FERNÁNDEZ,13-06-2015,PSOE-A
"Campana, La",MANUEL,FERNANDEZ,OVIEDO,13-06-2015,PA
Cantillana,ANGELES,GARCIA,MACIAS,13-06-2015,PSOE-A
Carmona,JUAN MANUEL,ÁVILA,GUTIERREZ,13-06-2015,P.P.
Carrión de los Céspedes,IGNACIO,ESCAÑUELA,ROMANA,13-06-2015,IULV-CA
Casariche,BASILIO DOMINGO,CARRIÓN,GIL,13-06-2015,PSOE-A
Castilblanco de los Arroyos,JOSÉ MANUEL,CARBALLAR,ALFONSO,03-05-2016,PSOE-A
Castilleja de Guzmán,ANASTASIO,OLIVER,PALOMO,13-06-2015,IULV-CA
Castilleja de la Cuesta,MARÍA CARMEN,HERRERA,CORONIL,13-06-2015,PSOE-A
Castilleja del Campo,NARCISO,LUQUE,CABRERA,20-06-2015,PSOE-A
"Castillo de las Guardas, El",GONZALO,DOMÍNGUEZ,DELGADO,13-06-2015,PSOE-A
Cazalla de la Sierra,SOTERO MANUEL,MARTÍN,BARRERO,13-06-2015,PSOE-A
Constantina,EVA MARÍA,CASTILLO,PÉREZ,26-01-2016,PSOE-A
Coria del Río,MODESTO,GONZÁLEZ,MÁRQUEZ,13-06-2015,PA
Coripe,ANTONIO,PEREZ,YAZQUEZ,13-06-2015,P.S.O.E.-A
"Coronil, El",Mª JOSEFA ISABEL,GOMEZ,GASPAR,13-06-2015,GANEMOS
"Corrales, Los",JUAN MANUEL,HEREDIA,BAUTISTA,13-06-2015,PSOE-A
